run_id,candidate_index,loss_type,base_channels,freeze_emg_epochs,encoder_lr_ratio,pretrained_mode,event_action_accuracy,event_action_macro_f1,command_success_rate,false_trigger_rate,false_release_rate,control_eval_present,pass_strict_online_gate,selected_for_longrun,checkpoint_path
s3_demo3_0317_ma_scr_01_lcross_entropy_bc16_fz6_elr0p24_ptoff,1,cross_entropy,16,6,0.24,off,0.75,0.7299145299145299,0.7058823529411765,0.23529411764705882,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_01_lcross_entropy_bc16_fz6_elr0p24_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_02_lcross_entropy_bc16_fz6_elr0p3_ptoff,2,cross_entropy,16,6,0.3,off,0.5625,0.4484848484848485,0.7058823529411765,0.0,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_02_lcross_entropy_bc16_fz6_elr0p3_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_03_lcross_entropy_bc16_fz6_elr0p36_ptoff,3,cross_entropy,16,6,0.36,off,0.875,0.8412698412698413,0.6470588235294118,0.35294117647058826,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_03_lcross_entropy_bc16_fz6_elr0p36_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_04_lcross_entropy_bc16_fz8_elr0p24_ptoff,4,cross_entropy,16,8,0.24,off,0.8125,0.7267399267399267,0.6470588235294118,0.0,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_04_lcross_entropy_bc16_fz8_elr0p24_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_05_lcross_entropy_bc16_fz8_elr0p3_ptoff,5,cross_entropy,16,8,0.3,off,0.9375,0.9267399267399267,0.6470588235294118,0.35294117647058826,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_05_lcross_entropy_bc16_fz8_elr0p3_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_06_lcross_entropy_bc16_fz8_elr0p36_ptoff,6,cross_entropy,16,8,0.36,off,0.75,0.7203907203907204,0.5882352941176471,0.4117647058823529,0.16666666666666666,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_06_lcross_entropy_bc16_fz8_elr0p36_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_07_lcross_entropy_bc16_fz10_elr0p24_ptoff,7,cross_entropy,16,10,0.24,off,0.8125,0.7802197802197802,0.6470588235294118,0.35294117647058826,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_07_lcross_entropy_bc16_fz10_elr0p24_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_08_lcross_entropy_bc16_fz10_elr0p3_ptoff,8,cross_entropy,16,10,0.3,off,0.8125,0.7267399267399267,0.7647058823529411,0.23529411764705882,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_08_lcross_entropy_bc16_fz10_elr0p3_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_09_lcross_entropy_bc16_fz10_elr0p36_ptoff,9,cross_entropy,16,10,0.36,off,0.75,0.719047619047619,0.5882352941176471,0.35294117647058826,0.5,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_09_lcross_entropy_bc16_fz10_elr0p36_ptoff/checkpoints/event_onset_best.ckpt
s3_demo3_0317_ma_scr_10_lcross_entropy_bc24_fz6_elr0p24_ptoff,10,cross_entropy,24,6,0.24,off,0.8125,0.7267399267399267,0.6470588235294118,0.35294117647058826,0.0,True,False,False,artifacts/runs/s3_demo3_0317_ma_scr_10_lcross_entropy_bc24_fz6_elr0p24_ptoff/checkpoints/event_onset_best.ckpt
