confidence_threshold,gate_confidence_threshold,command_confidence_threshold,activation_margin_threshold,vote_window,vote_min_count,switch_confidence_boost,command_success_rate,false_trigger_rate,false_release_rate,total_clip_count,action_clip_count,continue_clip_count,release_command_clip_count
0.86,0.9,0.78,0.14,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.86,0.9,0.78,0.18,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.86,0.9,0.82,0.14,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.86,0.9,0.82,0.18,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.9,0.9,0.78,0.14,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.9,0.9,0.78,0.18,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.9,0.9,0.82,0.14,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.9,0.9,0.82,0.18,5,3,0.12,0.8823529411764706,0.11764705882352941,0.0,17,6,9,2
0.86,0.86,0.78,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.86,0.78,0.14,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.86,0.78,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.86,0.78,0.18,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.86,0.82,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.86,0.82,0.14,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.86,0.82,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.86,0.82,0.18,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.9,0.78,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.9,0.78,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.9,0.82,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.86,0.9,0.82,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.78,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.78,0.14,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.78,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.78,0.18,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.82,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.82,0.14,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.82,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.86,0.82,0.18,5,3,0.12,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.9,0.78,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.9,0.78,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.9,0.82,0.14,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
0.9,0.9,0.82,0.18,5,3,0.08,0.8235294117647058,0.17647058823529413,0.0,17,6,9,2
