relative_path,gesture,capture_mode,start_state,target_state,user_id,session_id,device_id,timestamp,wearing_state,recording_id,sample_count,clip_duration_ms,pre_roll_ms,device_sampling_rate_hz,imu_sampling_rate_hz,quality_status,quality_reasons,source_origin
CONTINUE/20260319T121549__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal.csv,CONTINUE,event_onset,CONTINUE,CONTINUE,live_user,pi_live_debug_0319,armband01,20260319T121549,normal,20260319T121549__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal,2010,4000,400,500,50,pass,,armband_live_capture
CONTINUE/20260319T121555__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal.csv,CONTINUE,event_onset,CONTINUE,CONTINUE,live_user,pi_live_debug_0319,armband01,20260319T121555,normal,20260319T121555__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal,2000,4000,400,500,50,pass,,armband_live_capture
CONTINUE/20260319T121601__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal.csv,CONTINUE,event_onset,CONTINUE,CONTINUE,live_user,pi_live_debug_0319,armband01,20260319T121601,normal,20260319T121601__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal,2030,4000,400,500,50,pass,,armband_live_capture
CONTINUE/20260319T121607__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal.csv,CONTINUE,event_onset,CONTINUE,CONTINUE,live_user,pi_live_debug_0319,armband01,20260319T121607,normal,20260319T121607__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal,2010,4000,400,500,50,pass,,armband_live_capture
CONTINUE/20260319T121613__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal.csv,CONTINUE,event_onset,CONTINUE,CONTINUE,live_user,pi_live_debug_0319,armband01,20260319T121613,normal,20260319T121613__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal,2010,4000,400,500,50,pass,,armband_live_capture
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-001.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-001,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-002.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-002,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-003.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-003,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-004.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-004,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-005.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-005,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-006.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-006,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-007.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-007,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-008.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-008,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
THUMB_UP/20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-009.csv,THUMB_UP,event_onset,CONTINUE,THUMB_UP,live_user,pi_live_debug_0319,armband01,20260319T121705,normal,20260319T121705__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-009,1500,3000,500,500,50,warn,low_energy|static,armband_stream_auto_slice
WRIST_CW/20260319T121750__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-001.csv,WRIST_CW,event_onset,CONTINUE,WRIST_CW,live_user,pi_live_debug_0319,armband01,20260319T121750,normal,20260319T121750__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-001,1500,3000,500,500,50,warn,channel_anomaly|clipped,armband_stream_auto_slice
WRIST_CW/20260319T121750__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-002.csv,WRIST_CW,event_onset,CONTINUE,WRIST_CW,live_user,pi_live_debug_0319,armband01,20260319T121750,normal,20260319T121750__u-live_user__s-pi_live_debug_0319__d-armband01__w-normal__seg-002,1500,3000,500,500,50,warn,low_energy,armband_stream_auto_slice
