emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,125.0,128.0,127.0,127.0,126.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,127.0,127.0,127.0,126.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,127.0,127.0,127.0,126.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,127.0,127.0,127.0,126.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,127.0,127.0,127.0,126.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,126.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,126.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,126.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,126.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,127.0,127.0,126.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,125.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,129.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,129.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,130.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,130.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,130.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,130.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,130.0,119.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,130.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,129.0,119.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,131.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,130.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,131.0,118.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,126.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,125.0,127.0,126.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,125.0,127.0,126.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,129.0,122.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,129.0,122.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,129.0,122.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,123.0,128.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,126.0,127.0,127.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,126.0,127.0,126.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,128.0,126.0,127.0,126.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,128.0,126.0,127.0,126.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,128.0,126.0,127.0,126.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,125.0,127.0,127.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,125.0,127.0,127.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,125.0,127.0,127.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,125.0,127.0,127.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,126.0,127.0,127.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,126.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,126.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,127.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,129.0,125.0,128.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,125.0,128.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,125.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,125.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,126.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,126.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,130.0,127.0,126.0,127.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,130.0,127.0,127.0,126.0,126.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,130.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,130.0,127.0,126.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,130.0,127.0,126.0,127.0,127.0,127.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,130.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,130.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,130.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,130.0,127.0,126.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,125.0,130.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,128.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,128.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,129.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,129.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,129.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,128.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,129.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,129.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,126.0,129.0,127.0,127.0,127.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,126.0,129.0,127.0,127.0,126.0,127.0,128.0,30.0,-106.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,124.0,127.0,127.0,126.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,128.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,124.0,127.0,127.0,126.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,126.0,127.0,127.0,127.0,126.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
126.0,127.0,126.0,127.0,127.0,127.0,126.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,125.0,127.0,127.0,127.0,126.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
127.0,127.0,125.0,127.0,127.0,127.0,127.0,128.0,30.0,-105.0,-68.0,127.0,127.0,127.0,113.0,87.0,-113.0
