emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,127.0,127.0,127.0,127.0,115.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,127.0,127.0,115.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,126.0,127.0,127.0,127.0,115.0,100.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,127.0,127.0,115.0,100.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,127.0,127.0,115.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,126.0,127.0,127.0,127.0,115.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,126.0,127.0,127.0,127.0,115.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,126.0,127.0,127.0,127.0,115.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,126.0,127.0,127.0,126.0,115.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,126.0,127.0,127.0,127.0,115.0,100.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,128.0,127.0,127.0,116.0,102.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,126.0,127.0,127.0,127.0,116.0,102.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,127.0,127.0,116.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,127.0,127.0,116.0,102.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,127.0,127.0,116.0,102.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,127.0,127.0,116.0,102.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,128.0,127.0,127.0,116.0,102.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,128.0,127.0,127.0,116.0,102.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
126.0,127.0,127.0,126.0,127.0,116.0,101.0,127.0,28.0,-110.0,-68.0,127.0,127.0,127.0,117.0,88.0,125.0
