emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,127.0,124.0,127.0,127.0,122.0,127.0,127.0,25.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,124.0,127.0,127.0,122.0,127.0,127.0,25.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,126.0,127.0,127.0,120.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,126.0,127.0,127.0,120.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,125.0,126.0,127.0,127.0,120.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,126.0,127.0,127.0,120.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,125.0,127.0,127.0,120.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,125.0,127.0,127.0,121.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,125.0,127.0,127.0,121.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,125.0,127.0,127.0,121.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,126.0,127.0,127.0,121.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
125.0,126.0,126.0,127.0,127.0,121.0,127.0,127.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,119.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,119.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,126.0,127.0,127.0,121.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,126.0,127.0,127.0,120.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,24.0,-108.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
127.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,119.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,126.0,127.0,127.0,127.0,119.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
126.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
127.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
127.0,127.0,127.0,127.0,127.0,120.0,127.0,128.0,25.0,-109.0,-71.0,127.0,127.0,127.0,116.0,87.0,-93.0
