emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,127.0,127.0,126.0,126.0,129.0,110.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,126.0,126.0,129.0,110.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,126.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,126.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,126.0,128.0,125.0,127.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,125.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,128.0,125.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,128.0,125.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,128.0,125.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,128.0,125.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,126.0,127.0,125.0,127.0,129.0,108.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,126.0,127.0,125.0,127.0,129.0,108.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,126.0,127.0,125.0,127.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,125.0,127.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,125.0,126.0,129.0,108.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,125.0,126.0,129.0,108.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,126.0,127.0,125.0,126.0,129.0,108.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,126.0,127.0,125.0,126.0,129.0,109.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,126.0,127.0,125.0,126.0,129.0,108.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
126.0,127.0,127.0,125.0,126.0,129.0,108.0,127.0,24.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,128.0,107.0,127.0,23.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,128.0,107.0,127.0,23.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,128.0,107.0,127.0,23.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
127.0,127.0,127.0,125.0,127.0,128.0,107.0,127.0,23.0,-115.0,-71.0,127.0,127.0,127.0,119.0,84.0,107.0
