emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,126.0,132.0,118.0,126.0,109.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
126.0,126.0,132.0,120.0,126.0,109.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
126.0,126.0,132.0,121.0,126.0,108.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
126.0,126.0,132.0,122.0,126.0,108.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,126.0,131.0,123.0,126.0,107.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,126.0,131.0,125.0,126.0,107.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
126.0,127.0,132.0,118.0,125.0,110.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
126.0,126.0,133.0,118.0,125.0,110.0,126.0,128.0,23.0,-104.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,125.0,132.0,124.0,125.0,101.0,126.0,127.0,23.0,-105.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,125.0,132.0,124.0,126.0,101.0,126.0,127.0,23.0,-105.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,126.0,133.0,124.0,126.0,100.0,126.0,128.0,23.0,-105.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,126.0,133.0,124.0,126.0,100.0,126.0,128.0,23.0,-105.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,126.0,133.0,123.0,126.0,99.0,127.0,128.0,23.0,-105.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,126.0,133.0,123.0,126.0,99.0,127.0,128.0,23.0,-105.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
127.0,126.0,133.0,123.0,126.0,98.0,127.0,128.0,23.0,-105.0,-78.0,127.0,127.0,127.0,112.0,84.0,-50.0
