emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
127.0,129.0,135.0,128.0,126.0,126.0,112.0,130.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,130.0,135.0,129.0,126.0,127.0,113.0,130.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,130.0,133.0,129.0,126.0,127.0,109.0,131.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,130.0,132.0,129.0,127.0,127.0,106.0,132.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,129.0,130.0,130.0,127.0,127.0,107.0,132.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,128.0,127.0,130.0,127.0,127.0,106.0,131.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,127.0,126.0,130.0,127.0,128.0,107.0,131.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,126.0,124.0,130.0,127.0,128.0,107.0,130.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,127.0,132.0,128.0,125.0,126.0,112.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,128.0,134.0,128.0,125.0,126.0,112.0,129.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
128.0,122.0,129.0,126.0,127.0,128.0,108.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
128.0,122.0,129.0,126.0,127.0,128.0,108.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
128.0,123.0,129.0,126.0,127.0,129.0,108.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
128.0,124.0,128.0,127.0,127.0,129.0,109.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,125.0,127.0,127.0,127.0,129.0,109.0,123.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,127.0,126.0,127.0,127.0,129.0,109.0,123.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,129.0,124.0,127.0,127.0,129.0,109.0,123.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,120.0,127.0,125.0,126.0,128.0,107.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,121.0,129.0,125.0,126.0,128.0,107.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,122.0,129.0,126.0,127.0,128.0,107.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
125.0,127.0,127.0,129.0,129.0,130.0,110.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
124.0,127.0,125.0,129.0,129.0,130.0,111.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
124.0,126.0,124.0,129.0,130.0,130.0,111.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
123.0,126.0,122.0,129.0,130.0,130.0,111.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
123.0,125.0,122.0,130.0,130.0,130.0,111.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
123.0,124.0,121.0,130.0,131.0,130.0,112.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,127.0,128.0,128.0,127.0,129.0,109.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,127.0,128.0,128.0,127.0,129.0,109.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,128.0,128.0,128.0,128.0,129.0,109.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
125.0,127.0,128.0,128.0,128.0,129.0,110.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
125.0,125.0,124.0,127.0,126.0,128.0,108.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
125.0,127.0,122.0,126.0,125.0,129.0,108.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
124.0,127.0,121.0,126.0,125.0,129.0,109.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
124.0,128.0,119.0,126.0,125.0,129.0,109.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
124.0,127.0,118.0,125.0,125.0,129.0,108.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,122.0,128.0,127.0,126.0,128.0,107.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
126.0,122.0,129.0,127.0,126.0,128.0,107.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
125.0,122.0,129.0,127.0,126.0,128.0,107.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
125.0,122.0,127.0,127.0,126.0,128.0,107.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
125.0,123.0,126.0,127.0,126.0,128.0,108.0,128.0,25.0,-102.0,-73.0,127.0,127.0,127.0,113.0,87.0,-114.0
127.0,127.0,129.0,130.0,127.0,128.0,107.0,126.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
127.0,127.0,128.0,130.0,127.0,128.0,108.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
127.0,128.0,127.0,130.0,127.0,128.0,108.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
128.0,129.0,128.0,130.0,127.0,128.0,107.0,127.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
125.0,124.0,125.0,128.0,126.0,127.0,106.0,123.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
125.0,124.0,124.0,128.0,126.0,127.0,106.0,123.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
125.0,124.0,123.0,129.0,126.0,127.0,106.0,124.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
126.0,124.0,124.0,129.0,126.0,128.0,106.0,125.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
126.0,125.0,126.0,130.0,126.0,128.0,107.0,125.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
127.0,126.0,128.0,130.0,127.0,128.0,107.0,126.0,25.0,-102.0,-73.0,127.0,127.0,127.0,112.0,87.0,-114.0
