emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,128.0,124.0,127.0,127.0,134.0,127.0,128.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,128.0,124.0,127.0,127.0,134.0,127.0,128.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,128.0,124.0,127.0,127.0,133.0,127.0,128.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,124.0,127.0,127.0,133.0,127.0,128.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,124.0,127.0,127.0,133.0,127.0,127.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,124.0,127.0,127.0,133.0,127.0,127.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,125.0,127.0,127.0,133.0,127.0,128.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,125.0,127.0,127.0,133.0,127.0,128.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,124.0,127.0,127.0,132.0,127.0,127.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,124.0,127.0,127.0,132.0,127.0,127.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,124.0,127.0,127.0,132.0,127.0,127.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,128.0,124.0,127.0,127.0,133.0,127.0,128.0,34.0,-100.0,-67.0,127.0,127.0,127.0,117.0,94.0,-58.0
126.0,127.0,121.0,127.0,126.0,133.0,127.0,128.0,35.0,-100.0,-67.0,127.0,127.0,127.0,117.0,93.0,-58.0
126.0,127.0,121.0,127.0,126.0,133.0,127.0,128.0,35.0,-100.0,-67.0,127.0,127.0,127.0,117.0,93.0,-58.0
126.0,127.0,121.0,127.0,126.0,133.0,127.0,128.0,35.0,-100.0,-67.0,127.0,127.0,127.0,117.0,93.0,-58.0
126.0,127.0,122.0,126.0,126.0,133.0,127.0,128.0,35.0,-100.0,-67.0,127.0,127.0,127.0,117.0,93.0,-58.0
126.0,127.0,122.0,126.0,126.0,133.0,127.0,128.0,35.0,-100.0,-67.0,127.0,127.0,127.0,117.0,93.0,-58.0
126.0,127.0,122.0,126.0,126.0,132.0,127.0,128.0,35.0,-100.0,-67.0,127.0,127.0,127.0,117.0,93.0,-58.0
