emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
127.0,124.0,24.0,123.0,125.0,126.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,124.0,24.0,124.0,125.0,126.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,124.0,25.0,124.0,125.0,126.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,124.0,26.0,126.0,125.0,126.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,125.0,27.0,128.0,126.0,126.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,125.0,28.0,130.0,126.0,126.0,126.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,124.0,23.0,123.0,126.0,127.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,124.0,23.0,123.0,126.0,127.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,124.0,23.0,123.0,126.0,127.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,124.0,23.0,123.0,125.0,127.0,125.0,130.0,34.0,-102.0,-69.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,125.0,80.0,124.0,126.0,129.0,126.0,131.0,33.0,-103.0,-70.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,125.0,80.0,123.0,126.0,128.0,126.0,131.0,33.0,-103.0,-70.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,125.0,80.0,122.0,126.0,128.0,126.0,131.0,33.0,-103.0,-70.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,125.0,80.0,122.0,126.0,128.0,126.0,131.0,33.0,-103.0,-70.0,127.0,127.0,127.0,112.0,89.0,-93.0
127.0,125.0,80.0,121.0,126.0,128.0,126.0,131.0,33.0,-103.0,-70.0,127.0,127.0,127.0,112.0,89.0,-93.0
128.0,125.0,78.0,124.0,127.0,129.0,126.0,130.0,33.0,-103.0,-70.0,127.0,127.0,127.0,112.0,89.0,-93.0
