emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
127.0,127.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
127.0,127.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
126.0,127.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
127.0,128.0,127.0,127.0,128.0,128.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
127.0,128.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
127.0,127.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
126.0,127.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
127.0,127.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
127.0,128.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
127.0,128.0,127.0,127.0,128.0,127.0,127.0,128.0,18.0,-101.0,-82.0,127.0,127.0,127.0,114.0,88.0,125.0
126.0,126.0,128.0,127.0,127.0,127.0,126.0,127.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,127.0,127.0,126.0,128.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,127.0,127.0,126.0,127.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,127.0,127.0,127.0,128.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,127.0,128.0,126.0,127.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,128.0,128.0,126.0,128.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,128.0,128.0,126.0,128.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,127.0,127.0,126.0,127.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,128.0,127.0,127.0,128.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,126.0,128.0,127.0,127.0,127.0,126.0,128.0,17.0,-101.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,126.0,127.0,128.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,128.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,128.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,128.0,127.0,127.0,127.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,128.0,127.0,127.0,127.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,128.0,127.0,127.0,127.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,126.0,127.0,128.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,127.0,127.0,127.0,126.0,127.0,16.0,-102.0,-82.0,127.0,127.0,127.0,113.0,88.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,128.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,128.0,126.0,127.0,14.0,-102.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
125.0,124.0,127.0,127.0,127.0,127.0,126.0,128.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
125.0,125.0,127.0,126.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,127.0,127.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,126.0,127.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,126.0,127.0,127.0,127.0,126.0,128.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,125.0,126.0,127.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
125.0,124.0,127.0,127.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
125.0,124.0,127.0,127.0,127.0,127.0,126.0,127.0,12.0,-101.0,-81.0,127.0,127.0,127.0,113.0,87.0,125.0
126.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
126.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
126.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
126.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,129.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
126.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
126.0,127.0,125.0,127.0,127.0,127.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
126.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
126.0,128.0,125.0,128.0,127.0,128.0,127.0,128.0,11.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,129.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,129.0,125.0,128.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,129.0,125.0,128.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,128.0,125.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-81.0,127.0,127.0,127.0,112.0,87.0,125.0
127.0,129.0,126.0,128.0,127.0,128.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,128.0,127.0,127.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,128.0,127.0,127.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,128.0,127.0,127.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,128.0,127.0,128.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,127.0,127.0,128.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,129.0,125.0,128.0,127.0,128.0,127.0,128.0,10.0,-101.0,-82.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,126.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,127.0,126.0,127.0,126.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,10.0,-101.0,-83.0,127.0,127.0,127.0,111.0,87.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,11.0,-101.0,-83.0,127.0,127.0,127.0,111.0,86.0,125.0
127.0,128.0,126.0,127.0,127.0,127.0,127.0,128.0,11.0,-101.0,-83.0,127.0,127.0,127.0,111.0,86.0,125.0
