emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,126.0,126.0,129.0,127.0,234.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,127.0,129.0,127.0,235.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,125.0,127.0,129.0,127.0,235.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,127.0,129.0,127.0,235.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,127.0,129.0,127.0,235.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,127.0,129.0,127.0,234.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,126.0,129.0,127.0,234.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,126.0,129.0,127.0,234.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,126.0,129.0,127.0,234.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,126.0,126.0,129.0,127.0,234.0,127.0,127.0,26.0,-106.0,-74.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,125.0,127.0,129.0,127.0,220.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,125.0,128.0,129.0,127.0,219.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,125.0,128.0,129.0,127.0,219.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,125.0,128.0,129.0,127.0,219.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,125.0,127.0,129.0,127.0,219.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,124.0,128.0,129.0,127.0,218.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,124.0,128.0,129.0,127.0,218.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,124.0,128.0,129.0,127.0,218.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
126.0,124.0,128.0,128.0,127.0,217.0,127.0,127.0,26.0,-106.0,-73.0,125.0,127.0,127.0,-5.0,-5.0,-26.0
